ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,Gender_Male,Married_Yes,Dependents_1,Dependents_2,Dependents_3+,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban,TotalIncome,LoanIncomeRatio
5849,0.0,128.0,360.0,1.0,1,True,False,False,False,False,False,False,False,True,5849.0,0.021884082749187895
4583,1508.0,128.0,360.0,1.0,0,True,True,True,False,False,False,False,False,False,6091.0,0.0210146117222131
3000,0.0,66.0,360.0,1.0,1,True,True,False,False,False,False,True,False,True,3000.0,0.022
2583,2358.0,120.0,360.0,1.0,1,True,True,False,False,False,True,False,False,True,4941.0,0.024286581663630843
6000,0.0,141.0,360.0,1.0,1,True,False,False,False,False,False,False,False,True,6000.0,0.0235
5417,4196.0,267.0,360.0,1.0,1,True,True,False,True,False,False,True,False,True,9613.0,0.027774888172266723
2333,1516.0,95.0,360.0,1.0,1,True,True,False,False,False,True,False,False,True,3849.0,0.024681735515718367
3036,2504.0,158.0,360.0,0.0,0,True,True,False,False,True,False,False,True,False,5540.0,0.02851985559566787
4006,1526.0,168.0,360.0,1.0,1,True,True,False,True,False,False,False,False,True,5532.0,0.03036876355748373
12841,10968.0,349.0,360.0,1.0,0,True,True,True,False,False,False,False,True,False,23809.0,0.014658322483094628
3200,700.0,70.0,360.0,1.0,1,True,True,False,True,False,False,False,False,True,3900.0,0.017948717948717947
2500,1840.0,109.0,360.0,1.0,1,True,True,False,True,False,False,False,False,True,4340.0,0.02511520737327189
3073,8106.0,200.0,360.0,1.0,1,True,True,False,True,False,False,False,False,True,11179.0,0.01789068789694964
1853,2840.0,114.0,360.0,1.0,0,True,False,False,False,False,False,False,False,False,4693.0,0.024291497975708502
1299,1086.0,17.0,120.0,1.0,1,True,True,False,True,False,False,False,False,True,2385.0,0.007127882599580713
4950,0.0,125.0,360.0,1.0,1,True,False,False,False,False,False,False,False,True,4950.0,0.025252525252525252
3596,0.0,100.0,240.0,1.0,1,True,False,True,False,False,True,False,False,True,3596.0,0.027808676307007785
3510,0.0,76.0,360.0,0.0,0,False,False,False,False,False,False,False,False,True,3510.0,0.021652421652421653
4887,0.0,133.0,360.0,1.0,0,True,True,False,False,False,True,False,False,False,4887.0,0.027215060364231634
2600,3500.0,115.0,360.0,1.0,1,True,True,False,False,False,False,False,False,True,6100.0,0.018852459016393444
7660,0.0,104.0,360.0,0.0,0,True,True,False,False,False,True,False,False,True,7660.0,0.013577023498694517
5955,5625.0,315.0,360.0,1.0,1,True,True,True,False,False,False,False,False,True,11580.0,0.027202072538860103
2600,1911.0,116.0,360.0,0.0,0,True,True,False,False,False,True,False,True,False,4511.0,0.025714919086677012
3365,1917.0,112.0,360.0,0.0,0,True,True,False,True,False,True,False,False,False,5282.0,0.021204089360090876
3717,2925.0,151.0,360.0,1.0,0,True,True,True,False,False,False,False,True,False,6642.0,0.02273411623005119
9560,0.0,191.0,360.0,1.0,1,True,True,False,False,False,False,True,True,False,9560.0,0.01997907949790795
2799,2253.0,122.0,360.0,1.0,1,True,True,False,False,False,False,False,True,False,5052.0,0.02414885193982581
4226,1040.0,110.0,360.0,1.0,1,True,True,False,True,False,True,False,False,True,5266.0,0.020888720091150777
1442,0.0,35.0,360.0,1.0,0,True,False,False,False,False,True,False,False,True,1442.0,0.024271844660194174
3750,2083.0,120.0,360.0,1.0,1,False,False,False,True,False,False,False,True,False,5833.0,0.020572604148808505
4166,3369.0,201.0,360.0,1.0,0,True,True,True,False,False,False,False,False,True,7535.0,0.026675514266755143
3167,0.0,74.0,360.0,1.0,0,True,False,False,False,False,False,False,False,True,3167.0,0.023365961477739186
4692,0.0,106.0,360.0,1.0,0,True,False,True,False,False,False,True,False,False,4692.0,0.022591645353793693
3500,1667.0,114.0,360.0,1.0,1,True,True,False,False,False,False,False,True,False,5167.0,0.022063092703696534
12500,3000.0,320.0,360.0,1.0,0,True,False,False,False,True,False,False,False,False,15500.0,0.02064516129032258
2275,2067.0,128.0,360.0,1.0,1,True,True,False,False,False,False,False,False,True,4342.0,0.02947950253339475
1828,1330.0,100.0,360.0,0.0,0,True,True,False,False,False,False,False,False,True,3158.0,0.031665611146295125
3667,1459.0,144.0,360.0,1.0,1,False,True,False,False,False,False,False,True,False,5126.0,0.02809207959422552
4166,7210.0,184.0,360.0,1.0,1,True,False,False,False,False,False,False,False,True,11376.0,0.01617440225035162
3748,1668.0,110.0,360.0,1.0,1,True,False,False,False,False,True,False,True,False,5416.0,0.02031019202363368
3600,0.0,80.0,360.0,1.0,0,True,False,False,False,False,False,False,False,True,3600.0,0.022222222222222223
1800,1213.0,47.0,360.0,1.0,1,True,False,False,False,False,False,False,False,True,3013.0,0.015599070693660804
2400,0.0,75.0,360.0,1.0,1,True,True,False,False,False,False,False,False,True,2400.0,0.03125
3941,2336.0,134.0,360.0,1.0,1,True,True,False,False,False,False,False,True,False,6277.0,0.021347777600764697
4695,0.0,96.0,360.0,1.0,1,True,True,False,False,False,True,True,False,True,4695.0,0.020447284345047924
3410,0.0,88.0,360.0,1.0,1,False,False,False,False,False,False,False,False,True,3410.0,0.025806451612903226
5649,0.0,44.0,360.0,1.0,1,True,True,True,False,False,False,False,False,True,5649.0,0.007788989201628607
5821,0.0,144.0,360.0,1.0,1,True,True,False,False,False,False,False,False,True,5821.0,0.02473801752276241
2645,3440.0,120.0,360.0,0.0,0,False,True,False,False,False,False,False,False,True,6085.0,0.01972062448644207
4000,2275.0,144.0,360.0,1.0,1,False,False,False,False,False,False,False,True,False,6275.0,0.022948207171314742
1928,1644.0,100.0,360.0,1.0,1,False,True,False,False,False,True,False,True,False,3572.0,0.027995520716685332
3086,0.0,120.0,360.0,1.0,1,False,False,False,False,False,False,False,True,False,3086.0,0.03888528839922229
4230,0.0,112.0,360.0,1.0,0,False,False,False,False,False,False,False,True,False,4230.0,0.026477541371158392
4616,0.0,134.0,360.0,1.0,0,True,True,False,True,False,False,False,False,True,4616.0,0.02902946273830156
11500,0.0,286.0,360.0,0.0,0,False,True,True,False,False,False,True,False,True,11500.0,0.024869565217391306
2708,1167.0,97.0,360.0,1.0,1,True,True,False,True,False,False,False,True,False,3875.0,0.02503225806451613
2132,1591.0,96.0,360.0,1.0,1,True,True,False,False,False,False,False,True,False,3723.0,0.0257856567284448
3366,2200.0,135.0,360.0,1.0,0,True,True,False,False,False,False,False,False,False,5566.0,0.024254401724757457
8080,2250.0,180.0,360.0,1.0,1,True,True,True,False,False,False,False,False,True,10330.0,0.017424975798644726
3357,2859.0,144.0,360.0,1.0,1,True,True,False,True,False,True,False,False,True,6216.0,0.023166023166023165
2500,3796.0,120.0,360.0,1.0,1,True,True,False,False,False,False,False,False,True,6296.0,0.01905972045743329
3029,0.0,99.0,360.0,1.0,1,True,True,False,False,True,False,False,False,True,3029.0,0.03268405414328161
2609,3449.0,165.0,180.0,0.0,0,True,True,False,False,False,True,True,False,False,6058.0,0.02723671178606801
4945,0.0,128.0,360.0,0.0,0,True,True,True,False,False,False,False,False,False,4945.0,0.025884732052578362
4166,0.0,116.0,360.0,0.0,0,False,False,False,False,False,False,False,True,False,4166.0,0.02784445511281805
5726,4595.0,258.0,360.0,1.0,0,True,True,False,False,False,False,False,True,False,10321.0,0.024997577754093597
3200,2254.0,126.0,180.0,0.0,0,True,False,False,False,False,True,False,False,True,5454.0,0.0231023102310231
10750,0.0,312.0,360.0,1.0,1,True,True,True,False,False,False,False,False,True,10750.0,0.02902325581395349
7100,0.0,125.0,60.0,1.0,1,True,True,False,False,True,True,True,False,True,7100.0,0.017605633802816902
4300,0.0,136.0,360.0,0.0,0,False,False,False,False,False,False,False,True,False,4300.0,0.03162790697674418
3208,3066.0,172.0,360.0,1.0,1,True,True,False,False,False,False,False,False,True,6274.0,0.027414727446605038
1875,1875.0,97.0,360.0,1.0,1,True,True,False,True,False,True,True,True,False,3750.0,0.025866666666666666
3500,0.0,81.0,300.0,1.0,1,True,False,False,False,False,False,False,True,False,3500.0,0.023142857142857142
4755,0.0,95.0,360.0,0.0,0,True,True,False,False,True,True,False,True,False,4755.0,0.019978969505783387
5266,1774.0,187.0,360.0,1.0,1,True,True,False,False,True,False,True,True,False,7040.0,0.0265625
3750,0.0,113.0,480.0,1.0,0,True,False,False,False,False,False,False,False,True,3750.0,0.030133333333333335
3750,4750.0,176.0,360.0,1.0,0,True,False,False,False,False,False,False,False,True,8500.0,0.020705882352941178
1000,3022.0,110.0,360.0,1.0,0,True,True,True,False,False,False,True,False,True,4022.0,0.02734957732471407
3167,4000.0,180.0,300.0,0.0,0,True,True,False,False,True,False,False,True,False,7167.0,0.025115110925073254
3333,2166.0,130.0,360.0,1.0,1,True,True,False,False,True,True,True,True,False,5499.0,0.02364066193853428
3846,0.0,111.0,360.0,1.0,1,False,False,False,False,False,False,False,True,False,3846.0,0.028861154446177848
2395,0.0,128.0,360.0,1.0,1,True,True,True,False,False,False,True,True,False,2395.0,0.05344467640918581
